age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,Days in jail,c_days_from_compas,is_recid,r_days_from_arrest,violent_recid,is_violent_recid,decile_score.1,v_decile_score,priors_count.1,start,end,event,two_year_recid,High,Low,Language_Spanish,sex_Male,race_White,c_charge_degree_M,age_cat_young,age_cat_old
31,0,1,0,0,0,0,5,0,0,0,0,0,1,2,0,5,1186,0,0,0,1,0,1,1,1,1,0
21,0,8,1,0,1,0,1,0,1,1,0,1,8,8,1,1,748,1,0,1,0,0,1,0,1,1,0
21,0,6,0,0,0,0,1,0,0,0,0,0,6,7,0,1,1186,0,0,0,0,0,0,0,1,1,0
30,0,2,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1186,0,0,0,1,0,0,0,0,1,0
32,1,10,1,0,20,0,1,0,0,0,0,0,10,7,20,1,1186,0,0,0,0,0,1,0,0,1,0
49,0,1,0,0,0,127,0,1,1,0,0,0,1,1,0,0,127,0,1,0,1,0,0,1,1,0,1
22,0,9,0,1,0,0,21,0,1,0,1,0,9,7,0,21,363,0,1,0,0,0,1,0,1,1,0
43,0,2,0,0,2,0,0,1,0,0,0,0,2,1,2,0,1186,0,0,0,1,0,1,0,1,0,1
29,0,2,0,0,1,3,1,1,1,1,0,0,2,2,1,0,2,1,1,0,1,0,1,1,0,1,0
22,0,7,0,1,1,28,1,1,1,0,1,1,7,9,1,0,28,1,1,1,0,0,1,0,1,1,0
36,0,1,0,0,0,0,36,0,0,0,0,0,1,1,0,36,1186,0,0,0,1,0,1,1,0,1,0
37,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1186,0,0,0,1,0,0,1,1,1,0
27,0,4,0,0,0,0,0,1,0,0,0,0,4,3,0,0,1186,0,0,0,1,0,0,0,1,1,0
36,0,6,0,0,5,0,1,0,1,0,0,1,6,4,5,1,74,0,1,0,1,0,0,0,0,1,0
45,0,1,0,0,0,-1,1,1,0,0,0,0,1,1,0,0,1185,0,0,0,1,0,1,0,1,0,1
24,0,2,0,0,0,-1,15,1,0,0,0,0,2,3,0,14,1185,0,0,0,1,0,1,1,0,1,0
26,0,5,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1185,0,0,0,1,0,1,1,0,1,0
